INFO:root:Epoch 0/24
INFO:root:----------
INFO:root:class_loss: 0.005417998880147934, open_set_loss: 0.00022889766842126846
INFO:root:class_loss: 0.020688632503151894, open_set_loss: 0.00024163443595170975
INFO:root:class_loss: 0.005941526964306831, open_set_loss: 0.00023140106350183487
INFO:root:class_loss: 0.022448468953371048, open_set_loss: 0.00023542623966932297
INFO:root:class_loss: 0.004094123840332031, open_set_loss: 0.00023515429347753525
INFO:root:class_loss: 0.008246809244155884, open_set_loss: 0.00022797007113695145
INFO:root:class_loss: 0.013259461149573326, open_set_loss: 0.00022349320352077484
INFO:root:class_loss: 0.007235823664814234, open_set_loss: 0.00022288598120212555
INFO:root:class_loss: 0.011401744559407234, open_set_loss: 0.00022988207638263702
INFO:root:class_loss: 0.00577283650636673, open_set_loss: 0.00024405121803283691
INFO:root:class_loss: 0.002949541201815009, open_set_loss: 0.0002172933891415596
INFO:root:class_loss: 0.008547896519303322, open_set_loss: 0.00023193005472421646
INFO:root:class_loss: 0.005718229804188013, open_set_loss: 0.00021692737936973572
INFO:root:class_loss: 0.004814648535102606, open_set_loss: 0.0002198256552219391
INFO:root:class_loss: 0.004782306496053934, open_set_loss: 0.00022374000400304794
INFO:root:class_loss: 0.008525226265192032, open_set_loss: 0.00021712668240070343
INFO:root:class_loss: 0.00702319759875536, open_set_loss: 0.00021297484636306763
INFO:root:class_loss: 0.001949248369783163, open_set_loss: 0.00021105539053678513
INFO:root:class_loss: 0.012972160242497921, open_set_loss: 0.00024136807769536972
INFO:root:class_loss: 0.003969619981944561, open_set_loss: 0.00020687934011220932
INFO:root:class_loss: 0.005385487340390682, open_set_loss: 0.00021396297961473465
INFO:root:class_loss: 0.00838247686624527, open_set_loss: 0.00021138321608304977
INFO:root:class_loss: 0.004476058296859264, open_set_loss: 0.00020660646259784698
INFO:root:class_loss: 0.0024446912575513124, open_set_loss: 0.00021463632583618164
INFO:root:class_loss: 0.007948645390570164, open_set_loss: 0.00020854081958532333
INFO:root:class_loss: 0.0026425658725202084, open_set_loss: 0.0002064937725663185
INFO:root:class_loss: 0.00048691005213186145, open_set_loss: 0.00020258594304323196
INFO:root:class_loss: 0.008487687446177006, open_set_loss: 0.00020832661539316177
INFO:root:class_loss: 0.0012808711035177112, open_set_loss: 0.0002087969332933426
INFO:root:class_loss: 0.012367870658636093, open_set_loss: 0.00019906926900148392
INFO:root:class_loss: 0.014471989125013351, open_set_loss: 0.00020546093583106995
INFO:root:class_loss: 0.005317025817930698, open_set_loss: 0.00020054727792739868
INFO:root:class_loss: 0.00224121380597353, open_set_loss: 0.00019087828695774078
INFO:root:class_loss: 0.010976647026836872, open_set_loss: 0.00019570998847484589
INFO:root:class_loss: 0.025285368785262108, open_set_loss: 0.00019977206829935312
INFO:root:train Loss: 0.0004 Acc: 0.9968
INFO:root:class_loss: 0.002443225122988224, open_set_loss: 0.00022910162806510925
INFO:root:class_loss: 0.004559884779155254, open_set_loss: 0.00022946670651435852
INFO:root:class_loss: 0.0014856986235827208, open_set_loss: 0.0002309400588274002
INFO:root:class_loss: 0.005712502170354128, open_set_loss: 0.00022663269191980362
INFO:root:class_loss: 0.0003367203171364963, open_set_loss: 0.0002299649640917778
INFO:root:class_loss: 0.00320636248216033, open_set_loss: 0.00023153983056545258
INFO:root:class_loss: 0.0023342594504356384, open_set_loss: 0.00023032817989587784
INFO:root:class_loss: 0.004944413900375366, open_set_loss: 0.00023496616631746292
INFO:root:class_loss: 0.007957628928124905, open_set_loss: 0.00023209583014249802
INFO:root:class_loss: 0.0009055371046997607, open_set_loss: 0.00023281294852495193
INFO:root:class_loss: 0.006263222545385361, open_set_loss: 0.00022810883820056915
INFO:root:class_loss: 0.00018338342488277704, open_set_loss: 0.0002324797969777137
INFO:root:val Loss: 0.0005 Acc: 0.9988
INFO:root:Epoch 4/24
INFO:root:----------
INFO:root:class_loss: 0.013799558393657207, open_set_loss: 0.00019251182675361633
INFO:root:class_loss: 0.003951736260205507, open_set_loss: 0.0001964028924703598
INFO:root:class_loss: 0.022446181625127792, open_set_loss: 0.00018980912864208221
INFO:root:class_loss: 0.011681037954986095, open_set_loss: 0.00019622128456830978
INFO:root:class_loss: 0.007332076318562031, open_set_loss: 0.00018569361418485641
INFO:root:class_loss: 0.023931030184030533, open_set_loss: 0.00018772762268781662
INFO:root:class_loss: 0.002787574427202344, open_set_loss: 0.00019635818898677826
INFO:root:class_loss: 0.008867019787430763, open_set_loss: 0.00019493885338306427
INFO:root:class_loss: 0.010311071760952473, open_set_loss: 0.0001903139054775238
INFO:root:class_loss: 0.0007939565111882985, open_set_loss: 0.00018634740263223648
INFO:root:class_loss: 0.00842332188040018, open_set_loss: 0.0001916186884045601
INFO:root:class_loss: 0.009308609180152416, open_set_loss: 0.0001992490142583847
INFO:root:class_loss: 0.0026506485883146524, open_set_loss: 0.000180915929377079
INFO:root:class_loss: 0.008440620265901089, open_set_loss: 0.00018628593534231186
INFO:root:class_loss: 0.0023664438631385565, open_set_loss: 0.00017911475151777267
INFO:root:class_loss: 0.003639871021732688, open_set_loss: 0.00018505752086639404
INFO:root:class_loss: 0.0022229605820029974, open_set_loss: 0.00017688609659671783
INFO:root:class_loss: 0.008241229690611362, open_set_loss: 0.00017686374485492706
INFO:root:class_loss: 0.0067307427525520325, open_set_loss: 0.0001722387969493866
INFO:root:class_loss: 0.0010872597340494394, open_set_loss: 0.0001748139038681984
INFO:root:class_loss: 0.000406411214498803, open_set_loss: 0.0001702532172203064
INFO:root:class_loss: 0.0029317387379705906, open_set_loss: 0.00019789021462202072
INFO:root:class_loss: 0.005059174727648497, open_set_loss: 0.00016636308282613754
INFO:root:class_loss: 0.009356467984616756, open_set_loss: 0.00018527917563915253
INFO:root:class_loss: 0.006424321793019772, open_set_loss: 0.0001683216542005539
INFO:root:class_loss: 0.0026026242412626743, open_set_loss: 0.00016750581562519073
INFO:root:class_loss: 0.00790704507380724, open_set_loss: 0.00016767345368862152
INFO:root:class_loss: 0.02143288403749466, open_set_loss: 0.00016686506569385529
INFO:root:class_loss: 0.0076751429587602615, open_set_loss: 0.00016504060477018356
INFO:root:class_loss: 0.001798985875211656, open_set_loss: 0.0001802891492843628
INFO:root:class_loss: 0.0008826839621178806, open_set_loss: 0.0001605357974767685
INFO:root:class_loss: 0.0013347318163141608, open_set_loss: 0.00016310624778270721
INFO:root:class_loss: 0.008123310282826424, open_set_loss: 0.00016382988542318344
INFO:root:class_loss: 0.021490976214408875, open_set_loss: 0.00016245432198047638
